id,Category,Categ_impact,Sector,Categ_instrmnt,Sector_econAct,Value_lowerLim,Value_upperLim,Unit (USD/YY),YearData,NormalizedValue_YY,Descr-Method,Certainty,CertaintyDetail,HowNexusy,HowNexusy1,HowNexusy2,HowNexusy3,HowNexusy4,HowNexusy5,Source,SourceDetail
67,BD_fin,Positive,Public,Domestic budgets,total,113,113,billion USD,,2021,"Current annual spending in nature-based solutions carried out by domestic government bodies. Data on NbS finance from the public sector included data from domestic public expenditures (COFOG), from the Creditor Reporting System (CRS), and Aid Activity database from the OECD. Data on public expenditures was taken from the IMF and the OECD for 60 countries (accounting for >70% of global GDP). ",low,"Overall, high uncertainty because capital flows into NbS are not tracked or reported consistently. Data sets from public and private expenditures are used, but none of these label NbS explicitly. Data quality varies widely across regions. Note how they have dealth with uncertainty: it has been represented by ranges of data estimates, with the upper bounds reflecting a more comprehensive list of NbS activities and the lower bounds reflecting a narrower definition of NbS. The final estimates are simply the midpoint between the upper and lower bounds. Additional uncertainty added because THEY DID NOT PROVIDE THE NUMBERS FOR THESE UPPER AND LOWER BOUNDS, and instead I have had to only use their reported midpoints. ",biodiversity,biodiversity,NA,NA,,,UNEP 2021 SFN,UNEP 2021 (State of Finance)
85,BD_fin,Negative,Public,Government support/subsidies,agriculture,520,520,billion USD,,2022,"Subsidies to the agriculture sector based on data from FAO/UNDP/UNEP (2021), representing the 87% share of total supports that the authors assessed ",unknown,unknown,"biodiversity, food, water, health",food,water_health,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
80,BD_fin,Positive,Public,Domestic budgets,pollution,11,11,billion USD,,2021,"Public annual spending in NbS-activities for pollution abatement (natural carbon sinks for air quality), wastewater management, and improved enforcement",medium,Medium uncertainty,"biodiversity, climate, health",biodiversity,climate_health,NA,,,UNEP 2021 SFN,UNEP 2021 (State of Finance)
78,BD_fin,Positive,Public,Domestic budgets,"agriculture, forestry & fishing",23,23,billion USD,,2021,"Public annual spending in agriculture-NbS: regenerative and shade agriculture, sustainable agricultural supply chains, forest conservation and natural carbon storage, sustainable fisheries and aquaculture",low,"High uncertainty ""because most of the NbSrelated investments are a small subset of the sector""","biodiversity, food",biodiversity,food,NA,,,UNEP 2021 SFN,UNEP 2021 (State of Finance)
79,BD_fin,Positive,Public,Domestic budgets,water,17,17,billion USD,,2021,"Public annual spending in NbS-activities with water, conservation and land management, pollution control",medium,Medium uncertainty,"biodiversity, water",biodiversity,water,NA,,,UNEP 2021 SFN,UNEP 2021 (State of Finance)
30,BD_fin,Negative,Private,"Loans, credits, underwriting services",mining,770,770,billion USD,,2019,the amount of financing provided by top 50 banks to the mining sector,unknown,"Likely an underestimate, as this only applies to 50 banks worldwide (albeit these are the largest, or those operating in places of high threat to biodiversity)","biodiversity, water",biodiversity,water,NA,,,Portfolio Earth 2020,Portfolio Earth 2020
68,BD_fin,Positive,Public,ODA,international (ODAs and other financial flows),2.4,2.4,billion USD,,2021,Current annual spending in nature-based solutions carried out by public Overseas Development Assistance (ODA) and other types of spending,unknown,unknown,unknown,unknown,NA,NA,,,UNEP 2021 SFN,UNEP 2021 (State of Finance)
86,BD_fin,Negative,Public,Government support/subsidies,water,350,350,billion USD,,2022,"Subsidies for the withdrawal of water. This is a midpoint of range in World Bank analysis (Andres et al. 2019). Does not include subsidized water through direct withdrawal by industrial, power, and agricultural users",unknown,unknown,"biodiversity, water",water,NA,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
92,BD_fin,Positive,Mixed,Multiple,total,82.4,227,billion USD,,2021,"Total financial flows to NbS from both public and private sources, annually (including marine flows). Based on the Deutz et al. 2020 report, the OECD 2020 report, the Climate Policy Initiative Report 2021, the Protecting Nature by Reforming Environmentally Harmful Subsidies: The Role of Business (Earth Track 2022) report, and A Decade of Ocean funding: Landscape Trends 2010-2020 (Our Shared Seas 2021) report for marine flows. They use multipliers or scaling factors from the literature and sectoral experts to scale down the volume of financial flows per sector on the basis of the sector's activities. In other words, they know the value of a sector, and they scale down the total value to the value that is likely dedicated to NbS. Upper and lower limits indicate narrow and broad definitions of NbS.",quantified,"quantified, see range of lower and upper limits","biodiversity, food, water, climate (indirect)",biodiversity,food_water,climate,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
54,BD_fin,Positive,Mixed,Multiple,climate,83.3,83.3,billion USD,,2020,The total provided and mobilized by developed countries for climate action in developing countries in 2020 (this is 16.7 billion short of the 2020 goal of 100B),unknown,unknown,climate,climate,NA,NA,,,OECD 2022,OECD 2022 (Climate Finance)
34,BD_fin,Negative,Private,"Loans, credits, underwriting services",transport,175,175,billion USD,,2019,the amount of financing provided by top 50 banks to the transport sector (movement of goods and people),unknown,,"biodiversity, water, climate",biodiversity,climate_water,NA,,,Portfolio Earth 2020,Portfolio Earth 2020
106,BD_fin,Positive,Mixed,Multiple,marine,14,14,billion USD,,2021,The total public and private expenditures for marine NbS. The total (82-227 billion) includes this figure incorporated across sectors,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities","biodiversity, water",biodiversity,water,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
102,BD_fin,Positive,Private,Impact investment,total NbS,3,4,billion USD,,2021,"The total expenditure estimated going to NbS from equity and debt investments to generate positive, measurable Environmental, social, and governance (ESG) impacts and financial returns",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
32,BD_fin,Negative,Private,"Loans, credits, underwriting services",infrastructure,830,830,billion USD,,2019,"the amount of financing provided by top 50 banks to the infrastructure sector (electric utilities, oil & gas exploration and production, multiline utilities, industrial conglomerates, construction & engineering, others)",unknown,"Likely an underestimate, as this only applies to 50 banks worldwide (albeit these are the largest, or those operating in places of high threat to biodiversity)","biodiversity, water, climate, health (indirect) ",biodiversity,climate_water,health,,,Portfolio Earth 2020,Portfolio Earth 2020
109,BD_fin,Negative,Public,Government support/subsidies,fisheries,15,17,billion USD,,2021,"Public financial support for nature-negative fisheries, i.e., support that encourages fishing capacity beyond sustainable capacities, ",unknown,,"biodiversity, water, food",water,food,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
33,BD_fin,Negative,Private,"Loans, credits, underwriting services",tourism,64,64,billion USD,,2019,"the amount of financing provided by top 50 banks to tourism sector (restaurants, hotels, cruises, and airlines)",unknown,"Likely a high underestimate, as this only applies to 50 banks worldwide and those banks that support tourism are more likely to be local banks","biodiversity, water, food, climate",biodiversity,food_climate_water,NA,,,Portfolio Earth 2020,Portfolio Earth 2020
101,BD_fin,Positive,Private,Offsets,total NbS,3,8,billion USD,,2021,The total expenditure estimated going to NbS from investment in programmes to compensate for unavoidable impacts of development projects,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
103,BD_fin,Positive,Private,PES,NbS,2,5,billion USD,,2021,The total expenditure estimated going to NbS from voluntary financial flows between service users and providers conditional on agreed rules of resource management for generating offsite services,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
84,BD_fin,Negative,Public,Government support/subsidies,fossil fuels,640,640,billion USD,,2022,Subsidies to fossil fuels based on most recent estimates for consumer subsidies from IEA (2021) and the OECD,unknown,unknown,climate,climate,NA,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
89,BD_fin,Negative,Public,Government support/subsidies,transport,85,85,billion USD,,2022,Subsidies for transport,unknown,unknown,climate,climate,NA,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
104,BD_fin,Positive,Private,Philanthropy/NGOs,total NbS,3,4,billion USD,,2021,The total expenditure estimated going to NbS from grants and non-grants reported by philanthropic foundations and reported by the 5 largest conservation nongovernmental organizations (NGOs),quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
105,BD_fin,Positive,Private,Multilateral funds,total NbS,0.4,1,billion USD,,2021,"The total expenditure estimated going to NbS from private finance leveraged by development finance institutions, other agencies working on development and 2 multilateral climate and biodiversity funds",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities","biodiversity, climate",biodiversity,climate,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
99,BD_fin,Positive,Private,Voluntary carbon markets,forest/carbon,1,2,billion USD,,2021,The total expenditure estimated going to NbS from transactions in voluntary carbon markets and investments in REDD+ (Reducing Emissions from Deforestation and Forest Degradation),quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities","biodiversity, climate",biodiversity,climate,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
100,BD_fin,Positive,Private,Sustainable supply chains,agriculture,6,9,billion USD,,2021,The total expenditure estimated going to NbS from investment in biodiversity conservation from sustainable-certified commodity markets,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities","biodiversity, food",biodiversity,food,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
112,BD_fin,Negative,Public,Government support/subsidies,fossil fuels,1160,,billion USD,2022,2023,"Fossil fuel subsidies to consumers (which was a doubling since 2021 because of the war in Ukraine. Sources continue being FAO, UNDP/UNEP 2021, IEA 2023, OECD (2020, 2022e) Environmental Markets Lab (2018), Skerritt and Sumaila (2021), WB (2021), Koplow and Steenblik (2022).",unknown,,climate,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
119,BD_fin,Negative,Private,Multiple,energy,589,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",climate,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
117,BD_fin,Negative,Private,Multiple,utilities,1400,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",climate,water,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
5,BD_fin,Negative,Public,Government support/subsidies,fossil fuels,5300,5300,billion USD,,2015,Estimated subsidies for fossil fuels in 2015 (6.5% of global GDP),medium,"Medium uncertainty, based on sensitivity analyses","climate, health",climate,health,NA,,,Coady 2017,Coady 2017
83,BD_fin,Negative,Public,Government support/subsidies,fossil fuels,7000,7000,billion USD,,2022,"Estimate from the International Monetary Fund (IMF) of the subsidies to fossil fuels in 2022, which includes both implicit and explicit subsidies. Explicit subsidies is an undercharging for supply costs of fossil fuels, whereas implicit subsidies is the undercharging for the environmental costs and forgone consumption tax revenues.",unknown,unknown,"climate, health (indirect)",climate,NA,health,,,Black 2023,"Black et al., 2023 (IMF)"
97,BD_fin,Positive,Public,Domestic budgets,conservation & sustainability,52,64,billion USD,,2021,The total domestic government expenditure going to NbS for Protection of biodiversity and landscape,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
98,BD_fin,Positive,Public,Environmental policy/other,"environmental policy, other",2,16,billion USD,,2021,The total domestic government expenditure going to NbS for Environmental policy and other,quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",biodiversity,biodiversity,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
41,BD_fin,Negative,Public,Government support/subsidies,agriculture,230,451,billion USD,,2019,"The total estimated subsidies provided to agriculture, as defined by OECD's ""potential biodiversity harmful"" category of production subsidies. The US $230",quantified,lower and upper estimates refer to the difference between most harmful subsidies and potentially harmful subsidies,food,food,NA,biodiversity,,,Deutz 2020,Deutz 2020
113,BD_fin,Negative,Public,Government support/subsidies,agriculture,350,,billion USD,2021,2023,"Has not been updated, same source as 2021",unknown,,food,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
121,BD_fin,Negative,Private,Multiple,consumer non-cyclicals,402,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",food,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
94,BD_fin,Positive,Public,Domestic budgets,"agriculture, forestry & fishing",3,55,billion USD,,2021,"The total domestic government expenditure going to NbS for Sustainable agriculture, forestry and fishing including subsidies to sustainable fisheries. Used a scaling factorrr of 0.1",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities","biodiversity, food, water",biodiversity,food_water,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
123,BD_fin,Negative,Private,Multiple,healthcare,196,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",health,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
93,BD_fin,Positive,Public,ODA,international (ODAs and other financial flows),2,3,billion USD,,2021,"The funds going to NbS through official development assistance (ODA): Bilateral and multilateral aid in support of sustainability, biodiversity, climate change mitigation or desertification",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",unknown,unknown,NA,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
111,BD_fin,Negative,Public,Government support/subsidies,"total (agriculture, fossil fuels, fisheries, and forestry)",1700,,billion USD,2022,2023,"This is based on publicly available data on environmentally harmful subsidies across the 4 sectors of agriculture, fossil fuels, fisheries, and forestry. However, note that the values have only been updated here for the fossil fuels sector, and that they are no longer providing a range of estimates as the data used to provide this range (from the OECD) was unavailable.",unknown,,NA,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
96,BD_fin,Positive,Public,Domestic budgets,"pollution, conservation & sustainability, water",3,23,billion USD,,2021,"The total domestic government expenditure going to NbS for water resources, conservation and land management, pollution control and other natural resources management",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",water,biodiversity,water,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
110,BD_fin,Negative,Mixed,Total,total,7000,,billion USD,2022,2023,See public and private below,unknown,,NA,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
38,BD_fin,Mixed,Private,Global finance/economy,total global economy,300000,300000,billion USD,,2019,Approximate of total global financial assets,unknown,unknown,NA,unknown,NA,NA,,,Finance Watch 2019,Finance Watch 2019
39,BD_fin,Mixed,Private,Stocks/bonds,Global economy,166000,166000,billion USD,,2019,Approximate of total global financial assets that are stocks and bonds,unknown,unknown,NA,unknown,NA,NA,,,Finance Watch 2019,Finance Watch 2019
95,BD_fin,Positive,Public,Domestic budgets,water,2,33,billion USD,,2021,"The total domestic government expenditure going to NbS for Pollution abatement, wastewater management and environmental protection. ",quantified,"quantified, range of lower and upper limits refer to more narrow and broader definitions of NbS activities",water,biodiversity,water,NA,,,UNEP 2022 SFN,UNEP 2022 (State of Finance)
120,BD_fin,Negative,Private,Multiple,consumer cyclicals,501,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
116,BD_fin,Negative,Private,Multiple,industrials,5000,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
122,BD_fin,Negative,Private,Multiple,real estate,505,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
124,BD_fin,Negative,Private,Multiple,technology,186,,billion USD,,2023,"Collected data on corporate loans, boands, and equity proceeds in 2022, this is referred to as ""activity-tagging"" approach, where nature negative flows are estimated based on the number of activities within the sector flagged as nature-negative. Then, they used the ENCORE tool (Exploring Natural Capital Opportunities Risks and Exposure) to calculate the share of production processes that have high impacts on nature within each subindustry. Industry activities were reviewed and classified as nature-negative by experts. These are still approximations due to data gaps: ""Consolidated private finance data exists at a high granularity level but is frequently not publicly available. Data on public finance flows (e.g. OECD and IMF COFOG) tend not to provide breakdowns of sector-level spending to isolate nature-negative expenditures""",unknown,"Likely underestimated as the methodology focuses on direct impacts, as well as due to remaining data gaps",unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
114,BD_fin,Negative,Public,Government support/subsidies,fisheries,20,,billion USD,2021,2023,"Has not been updated, same source as 2021",unknown,,water,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
125,BD_fin,Positive,Mixed,Multiple,total,200,,billion USD,2022,2023,See public and private SFN 2023,unknown,,NA,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
133,BD_fin,Positive,Private,Offsets,conservation & sustainability,11.7,,billion USD,,2023,"The offsets estimate is based on a projection from 2016 (Bennett et al. 2017), which assumes a 6-12% annual growth (lower and upper bounds respectively). The credits estimate is based on a Terrasos estimate (lower bound) and a Bloomberg NEF estimate (Carbon Pulse 2023) (upper bound)",unknown,,biodiversity,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
138,BD_fin,Positive,Private,PES,conservation & sustainability,3.5,,billion USD,2020,2023,"Uses data from OECD (""Tracking Economic Instruments and Finance for Biodiversity"". This included 153 PES programmes in 37 countries.",unknown,,biodiversity,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
88,BD_fin,Negative,Public,Government support/subsidies,construction,90,90,billion USD,,2022,Subsidies for construction,low,High uncertainty because ballpark estimate is based on tax breaks in the US for single family homes,unknown,unknown,NA,NA,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
136,BD_fin,Positive,Private,Philanthropy/NGOs,conservation & sustainability,3.9,,billion USD,2021,2023,"Philanthropy data is sourced from the OECD, the NGO data is sources from the biggest conservation NGOs reports: CI, TNC, WWF, WCS, RSPB",unknown,,biodiversity,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
137,BD_fin,Positive,Private,Carbon markets,carbon,1.5,,billion USD,2021,2023,"Mention lower and upper bounds, but do not provide the exact numbers. These would correspond to voluntary market transaction, and value of projects, respectively",unknown,NA,climate,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
139,BD_fin,Positive,Private,Farmer's investments,agriculture,1.4,1.6,billion USD,,2023,"This is the first time the SFN estimates this - the use of profits from farming to invest in conservation practices. They calculate how many ha of growth under conservation ag per year, and multiply with the share of toal agricultural investment of farmer's retained profits. This seems to be based on Kassam et al. 2019, very unclear how this makes any sense. ",unknown,,food,biodiversity,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
134,BD_fin,Positive,Private,Sustainable supply chains,agriculture,8.6,,billion USD,2022,2023,"Based on the assumption from Deutz 2020 that 1-1.5% of the certified commodity market is invested into biodiversity related NbS (which was based on the forestry sector). This includes the supply chains of: forestry, palm oil, organic agricultural goods, seafood, soy, coffee, and cocoa.",unknown,,food,biodiversity,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
76,BD_fin,Negative,Private,"Loans, credits, underwriting services",forestry,44,44,billion USD,,2021,"Estimates of money from that was channelled into businesses that are directly or indirectly involved with deforestation in the Amazon, Congo Basin, and Papua New Guinea from 2013-2019. Note, best to use the numbers from the banking-financing report by Portfolio Earth, as this is more up to date and relevant globally",unknown,unknown,unknown,unknown,NA,NA,,,Dasgupta 2021,"Dasgupta 2021, citing Global Witness 2019, which in turn was a commission from Profundo which carried out the Portfolio Earth report."
4,BD_fin,Negative,Mixed,Global finance/economy,total,7000,7000,billion USD,,2015,the externalities of the world's annual economy based on estimates from the UNU-IHDP/UNEP,unknown,unknown,unknown,unknown,NA,NA,,,UNEP 2015,UNEP 2015 (The Financial System We Need)
135,BD_fin,Positive,Private,Impact investment,total NbS,4.6,,billion USD,,2023,"This is defined as ""private or public equity and debt investments intended to generate positive, measurable ESG impact alongside a financial return"", and collated many data sources. ",unknown,,unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
128,BD_fin,Positive,Public,Domestic budgets,conservation & sustainability,75.9,,billion USD,,2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,biodiversity,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
129,BD_fin,Positive,Public,Domestic budgets,"agriculture, forestry & fishing",41.5,,billion USD,,2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,food,biodiversity,water,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
126,BD_fin,Positive,Public,Domestic budgets,total,165,,billion USD,"2018, 2021, 2022",2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,NA,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
132,BD_fin,Positive,Public,Domestic budgets,"environmental policy, other",13.5,,billion USD,,2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
131,BD_fin,Positive,Public,Domestic budgets,pollution,15.4,,billion USD,,2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,health,biodiversity,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
127,BD_fin,Positive,Public,ODA,international (ODAs and other financial flows),2.2,,billion USD,2021,2023,"Uses the OECD Creditor Reporting System to tracks disbursements of aid. It is data from 2021, covering 16 sectors and 138 recipient countries",unknown,,unknown,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
130,BD_fin,Positive,Public,Domestic budgets,water,16.2,,billion USD,,2023,"Public funding is estimated based on domestic expenditure, collated over 60 countries and 5 sectors which represent 76% of global GDP. This includes data from the OECD COFOG, and the IMF's Government Finance Statistics.",unknown,,water,NA,NA,NA,,,UNEP 2023 SFN,UNEP 2023 (State of Finance)
90,BD_fin,Negative,Public,Government support/subsidies,fisheries,50,50,billion USD,,2022,Subsidies for marine capture fisheries,unknown,unknown,"water, food, biodiversity (indirect)",water,food,biodiversity,,,Koplow and Steenblik 2022,Koplow and Steenblik 2022
